"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 24, 2019","0.27217","0.27315","0.27330","0.26686","2.45B","-0.39%"
"Oct 23, 2019","0.27324","0.29052","0.29119","0.25165","2.50B","-5.95%"
"Oct 22, 2019","0.29053","0.29203","0.30215","0.28902","1.59B","-0.53%"
"Oct 21, 2019","0.29207","0.29397","0.29417","0.28846","1.48B","-0.65%"
"Oct 20, 2019","0.29397","0.29133","0.29609","0.28208","1.76B","0.91%"
"Oct 19, 2019","0.29133","0.29393","0.29883","0.28736","1.69B","-0.88%"
"Oct 18, 2019","0.29393","0.30172","0.30187","0.28503","2.02B","-2.59%"
"Oct 17, 2019","0.30173","0.28343","0.30302","0.27999","2.10B","6.46%"
"Oct 16, 2019","0.28342","0.28837","0.29202","0.27889","1.96B","-1.72%"
"Oct 15, 2019","0.28839","0.29725","0.29878","0.28328","2.12B","-2.98%"
"Oct 14, 2019","0.29725","0.27738","0.29774","0.27650","2.08B","7.17%"
"Oct 13, 2019","0.27737","0.27236","0.28121","0.27164","1.44B","1.84%"
"Oct 12, 2019","0.27236","0.26739","0.27698","0.26728","1.35B","1.85%"
"Oct 11, 2019","0.26741","0.27029","0.27442","0.26481","1.39B","-1.08%"
"Oct 10, 2019","0.27033","0.28096","0.28170","0.26555","1.61B","-3.78%"
"Oct 09, 2019","0.28095","0.27751","0.28633","0.27377","1.89B","1.23%"
"Oct 08, 2019","0.27753","0.27581","0.28479","0.27088","1.88B","0.63%"
"Oct 07, 2019","0.27580","0.25535","0.28080","0.25354","2.40B","8.02%"
"Oct 06, 2019","0.25532","0.25324","0.25621","0.25096","1.17B","0.85%"
"Oct 05, 2019","0.25318","0.25245","0.25625","0.24707","1.06B","0.29%"
"Oct 04, 2019","0.25244","0.24681","0.25627","0.24493","1.11B","2.27%"
"Oct 03, 2019","0.24683","0.25275","0.25292","0.24225","1.13B","-2.36%"
"Oct 02, 2019","0.25279","0.24806","0.25453","0.24455","1.26B","1.91%"
"Oct 01, 2019","0.24805","0.25643","0.26061","0.24512","1.49B","-3.27%"
